firstname,lastname,street,city,state,zip,phone1,email
James,Butt,6649 N Blue Gum St,New Orleans,LA,70116,5046218927,jbutt@gmail.com
Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,MI,48116,8102929388,josephine_darakjy@darakjy.org
Art,Venere,8 W Cerritos Ave #54,Bridgeport,NJ,8014,8566368749,art@venere.org
Lenna,Paprocki,639 Main St,Anchorage,AK,99501,9073854412,lpaprocki@hotmail.com
Donette,Foller,34 Center St,Hamilton,OH,45011,5135701893,donette.foller@cox.net
Simona,Morasca,3 Mcauley Dr,Ashland,OH,44805,4195032484,simona@morasca.com
Mitsue,Tollner,7 Eads St,Chicago,IL,60632,7735736914,mitsue_tollner@yahoo.com
Leota,Dilliard,7 W Jackson Blvd,San Jose,CA,95111,4087523500,leota@hotmail.com
Sage,Wieser,5 Boston Ave #88,Sioux Falls,SD,57105,6054142147,sage_wieser@cox.net
Kris,Marrier,228 Runamuck Pl #2808,Baltimore,MD,21224,4106558723,kris@gmail.com
Minna,Amigon,2371 Jerrold Ave,Kulpsville,PA,19443,2158741229,minna_amigon@yahoo.com
Abel,Maclead,37275 St  Rt 17m M,Middle Island,NY,11953,6313353414,amaclead@gmail.com
Kiley,Caldarera,25 E 75th St #69,Los Angeles,CA,90034,3104985651,kiley.caldarera@aol.com
Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,4407808425,gruta@cox.net
Cammy,Albares,56 E Morehead St,Laredo,TX,78045,9565376195,calbares@gmail.com
Mattie,Poquette,73 State Road 434 E,Phoenix,AZ,85013,6022774385,mattie@aol.com
Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,TN,37110,9313139635,meaghan@hotmail.com
Gladys,Rim,322 New Horizon Blvd,Milwaukee,WI,53207,4146619598,gladys.rim@rim.org
Yuki,Whobrey,1 State Route 27,Taylor,MI,48180,3132887937,yuki_whobrey@aol.com
Fletcher,Flosi,394 Manchester Blvd,Rockford,IL,61109,8158282147,fletcher.flosi@yahoo.com
Bette,Nicka,6 S 33rd St,Aston,PA,19014,6105453615,bette_nicka@cox.net
Veronika,Inouye,6 Greenleaf Ave,San Jose,CA,95111,4085401785,vinouye@aol.com
Willard,Kolmetz,618 W Yakima Ave,Irving,TX,75062,9723039197,willard@hotmail.com
